Constellation,RA(deg),Dec(deg),Vmag
Andromeda,348.13751463414246,49.40620720203916,4.519999980926514
Andromeda,10.684708333333335,41.268750000000004,3.440000057220459
Andromeda,32.121921323591664,37.85908513215612,4.820000171661377
Andromeda,9.831679638429586,30.86098357599195,3.2799999713897705
Andromeda,24.199339768294585,41.40545871334139,4.099999904632568
Andromeda,20.585083648210002,45.52877673579,4.868000030517578
Andromeda,33.3055091634783,44.2316466494814,4.826000213623047
Andromeda,25.14506744022875,40.577038805908344,4.940000057220459
Andromeda,17.433016172930422,35.62055765052624,2.049999952316284
Andromeda,2.096916185675641,29.090431118059698,2.059999942779541
Andromeda,9.22021384008625,33.71934341518167,4.360000133514404
Andromeda,25.446361892124575,42.61339487994944,4.960000038146973
Andromeda,4.581905703219166,36.78522459491082,4.519999980926514
Andromeda,12.45352635157333,41.07891089498556,4.53000020980835
Andromeda,30.974801206539723,42.32972842352701,2.0999999046325684
Andromeda,349.4360302737601,49.01530081413999,4.860000133514404
Andromeda,17.37552339943203,47.241794288193404,4.25
Andromeda,17.3755086,47.24179658888889,4.294000148773193
Andromeda,24.49815843305334,48.62821196304722,3.569999933242798
Andromeda,4.272926513519167,38.68163572933945,4.610000133514404
Andromeda,354.39101158367913,46.45815131141917,3.819999933242798
Andromeda,356.5085293096101,46.42027401636,4.966000080108643
Andromeda,354.5341679393851,43.26807305495556,4.289999961853027
Andromeda,345.48027081433673,42.32601551823333,3.619999885559082
Andromeda,14.301667830110834,23.417650023123606,4.420000076293945
Andromeda,355.10211557957956,44.33393296378723,4.139999866485596
Andromeda,9.638947629184166,29.311753227467783,4.380000114440918
Andromeda,36.40592906717001,50.27862870409,4.710000038146973
Andromeda,14.1883711464875,38.499334271586946,3.869999885559082
Andromeda,11.83469049519625,24.267178550475833,4.059999942779541
Andromeda,21.91408631466458,45.406684757618336,4.829999923706055
Antlia,164.17938007896004,-37.137767409880006,4.599999904632568
Antlia,142.31133167344,-35.95133743857333,4.510000228881836
Antlia,146.05039631875002,-27.769472515277776,4.789999961853027
Antlia,156.78791933060003,-31.06777913925,4.25
Apus,260.49782373427007,-67.77066898815,4.78000020980835
Apus,245.0866729822067,-78.69574842204916,4.679999828338623
Apus,248.3628438138967,-78.89714816863112,3.8540000915527344
Apus,221.96546289704747,-79.04475355458166,3.7980000972747803
Apus,250.76941073843167,-77.51743314838694,4.239999771118164
Apus,214.55789958255997,-81.00775849839,4.888999938964844
Aquarius,331.6092805850938,-13.869680561132501,4.269999980926514
Aquarius,336.3192625072542,1.3773984581883334,4.639999866485596
Aquarius,337.2078600866833,-0.020544972322777775,4.489999771118164
Aquarius,343.6625260741301,-15.820819565200004,3.2799999713897705
Aquarius,330.8285169240958,-2.1553649543166666,4.690000057220459
Aquarius,350.74260762799844,-20.100582088853056,3.9800000190734863
Aquarius,343.15364185224,-7.57959692371,3.7899999618530273
Aquarius,313.1634618649297,-8.983327394804169,4.71999979019165
Aquarius,351.51160776192575,-20.642017986579994,4.389999866485596
Aquarius,335.41404820054004,-1.38734919411,3.8340001106262207
Aquarius,355.68060543288885,-14.544905529166666,4.484000205993652
Aquarius,353.3192590454091,-20.914495039034996,4.757999897003174
Aquarius,337.66175584903,-10.6779180573,4.809999942779541
Aquarius,354.94612245626996,-14.22215365198,4.9770002365112305
Aquarius,322.8897169834788,-5.5711748280636115,2.890000104904175
Aquarius,347.4787062710762,-22.457606905887776,4.800000190734863
Aquarius,340.89680519415367,-18.83037508142056,4.690000057220459
Aquarius,311.9189565534167,-9.495776926900833,3.7699999809265137
Aquarius,337.2079451972492,-0.019942847221622,3.6500000953674316
Aquarius,317.39853468273077,-11.371690400280835,4.519999980926514
Aquarius,349.4758905025001,-9.182518756666665,4.400000095367432
Aquarius,331.4459814409479,-0.3198509554241667,2.940000057220459
Aquarius,334.20848618584006,-7.783288742531944,4.159999847412109
Aquarius,337.20787004384545,-0.019964649560277777,4.340000152587891
Aquarius,324.4379573858483,-7.854201596771944,4.690000057220459
Aquarius,338.8390890307466,-0.11749740658833335,4.03000020980835
Aquarius,346.6701988318,-23.74299001927,4.46999979019165
Aquarius,311.9343269618446,-5.027701147756111,4.440000057220459
Aquarius,355.44085990105003,-17.81653194641,4.829999923706055
Aquarius,348.97289187323753,-9.087734712236944,4.25
Aquarius,342.3979207511146,-13.592628543936945,3.9800000190734863
Aquarius,347.3616501872496,-21.172415205008054,3.640000104904175
Aquarius,348.58065933507993,-6.049006424670001,4.21999979019165
Aquila,298.5620063246,8.461454288359999,4.706999778747559
Aquila,298.82830351238294,6.406764233985,3.7100000381469727
Aquila,307.4125001629201,-2.88552815665,4.900000095367432
Aquila,293.5223041337725,7.378940091535001,4.449999809265137
Aquila,296.5649123092775,10.6132587226325,2.7200000286102295
Aquila,291.3745891389376,3.114779474957126,3.359999895095825
Aquila,294.180323762,-1.2865996151100005,4.360000133514404
Aquila,294.2227036962592,-7.027479115692221,4.960000038146973
Aquila,302.82619454879625,-0.8214635937475,3.2200000286102295
Aquila,297.69582729638694,8.868321196436963,0.7599999904632568
Aquila,285.42012029518503,-5.739089504799445,4.019999980926514
Aquila,290.13710917285,-5.415768030580001,4.989999771118164
Aquila,309.18180497848,-2.54995464288,4.880000114440918
Aquila,309.58451870220006,-1.10511725043,4.329999923706055
Aquila,286.3525333979167,13.86347728111111,2.990000009536743
Aquila,284.90565157804997,15.06828104146,4.019999980926514
Aquila,286.56224439258,-4.88256274593,3.430000066757202
Aquila,291.629538575,0.33857080495,4.71999979019165
