Constellation,RA(deg),Dec(deg)
Taurus,70.14200552197,17.94310721374
Taurus,70.45788565203,18.1717338578
Vulpecula,310.63539825184006,25.94655189335
Vulpecula,308.78855580547,25.40368111344
Camelopardalis,118.14963594603,75.00587219242
Camelopardalis,124.46736044782001,75.46110008398
Camelopardalis,121.57025726057003,75.17552101795
Camelopardalis,121.61846221657001,74.37334962214
Hydrus,26.33352595939333,-58.96033446892333
Carina,162.3689270655079,-60.029723944655544
